,CN1,CN2,CN3,CN4,CN5,CN6,CN7,CN8,CN9,CN10,CN11,CN12,CN13,CN14,CN15,CN16,CN17,CN18,CN19,CN20,CN21,CN22,CN23,CN24,CN25,% CN1,% CN2,% CN3,% CN4,% CN5,% CN6,% CN7,% CN8,% CN9,% CN10,% CN11,% CN12,% CN13,% CN14,% CN15,% CN16,% CN17,% CN18,% CN19,% CN20,% CN21,% CN22,% CN23,% CN24,Status
TCGA-AR-A24V,0,34,0,0,15,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,44.73684210526316,0.0,0.0,12.423714036617262,0.0,20.276274583317253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A2-A0EU,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.0,64.51612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.516379601485985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A7-A0CD,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,87.87878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3091000250689397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-A1-A0SH,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,70.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.707581227436823,0.0,Cogain
TCGA-BH-A1EX,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.38461538461539,9.848484848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-E2-A1LA,23,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,19,0,0,17,0,0,25.274725274725274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52102825819866,0.0,0.0,0.0,0.0,0.0,0.0,13.213185739625962,0.0,0.0,10.827408986242439,0.0,Cogain
TCGA-BH-A42T,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cogain
TCGA-D8-A1JF,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,29,20,0,0,0,0,0.0,31.31313131313131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.580265095729013,0.0,0.0,0.0,20.014714761856897,12.127966209797572,0.0,0.0,0.0,Cogain
TCGA-EW-A1J3,23,0,0,0,0,0,0,12,18,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,36.507936507936506,0.0,0.0,0.0,0.0,0.0,0.0,12.059339607592918,16.133763077052052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8307898379114595,0.0,0.0,0.0,0.0,Cogain
TCGA-D8-A1XL,0,41,0,0,0,0,0,0,29,0,0,0,0,0,0,0,36,0,0,62,0,0,0,0,0,0.0,24.404761904761905,0.0,0.0,0.0,0.0,0.0,0.0,15.072392030689272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.351307995674585,0.0,0.0,27.57657970323756,0.0,0.0,0.0,0.0,Cogain
